Statistic,shots,goals,xG
OpenPlay,190,25,25.909013363532722
FromCorner,54,10,5.896801614202559
SetPiece,19,4,1.7577453190460801
DirectFreekick,11,1,0.729445381090045
Penalty,6,5,4.5670130252838135
