Statistic,stat,time,shots,goals,xG
3-4-2-1,3-4-2-1,1006,134,15,17.078593113459647
4-1-4-1,4-1-4-1,293,38,10,8.626813498325646
4-2-3-1,4-2-3-1,235,43,12,7.655317122116685
4-4-1-1,4-4-1-1,198,30,3,2.8987527107819915
3-5-2,3-5-2,98,22,2,1.369582872837782
4-4-2,4-4-2,86,9,2,0.4789056070148945
4-2-2-2,4-2-2-2,27,3,1,0.23296986147761345
4-3-3,4-3-3,3,1,0,0.5190839171409607
