№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,98,18,122,19,11.06-6.94,16.01-2.99,-4.95,0.11,0.13
2,From corner,17,1,39,6,1.36+0.36,3.85-2.15,-2.49,0.08,0.10
3,Set piece,7,1,7,1,0.80-0.20,0.28-0.72,0.52,0.11,0.04
4,Direct Freekick,2,0,9,0,0.11+0.11,0.64+0.64,-0.53,0.05,0.07
5,Penalty,0,0,2,2,0.00,1.52-0.48,-1.52,0.00,0.76
