Statistic,stat,shots,goals,xG
1-15,1-15,24,3,2.5691702272742987
16-30,16-30,20,3,2.7475644052028656
31-45,31-45,30,3,3.853244095109403
46-60,46-60,29,6,2.7728162594139576
61-75,61-75,35,4,4.930473769083619
76+,76+,31,8,4.712018918246031
