Statistic,stat,shots,goals,xG
shotOboxTotal,shotOboxTotal,51,4,2.50509484205395
shotPenaltyArea,shotPenaltyArea,96,17,12.652238884940743
shotSixYardBox,shotSixYardBox,22,6,6.427953947335482
