Statistic,shots,goals,xG
BlockedShot,87,0,6.521533985622227
Goal,45,45,15.319153897464275
SavedShot,59,0,7.377631581388414
MissedShots,85,0,8.771657102741301
ShotOnPost,4,0,0.870042135939002
