Statistic,stat,shots,goals,xG
ownGoals,ownGoals,0,0,0.0
shotOboxTotal,shotOboxTotal,64,1,1.9273629738017917
shotPenaltyArea,shotPenaltyArea,87,9,10.649342870339751
shotSixYardBox,shotSixYardBox,7,2,2.6466668397188187
