Statistic,stat,time,shots,goals,xG
4-3-3,4-3-3,527,65,1,4.635924882255495
4-4-2,4-4-2,448,40,7,4.739593981765211
4-2-3-1,4-2-3-1,95,13,2,2.184187337756157
5-4-1,5-4-1,46,24,1,1.9770120400935411
5-3-2,5-3-2,33,12,0,0.7939981119707227
4-4-1-1,4-4-1-1,10,4,1,0.8926563300192356
