Statistic,stat,shots,goals,xG
1-15,1-15,21,5,2.017540479078889
16-30,16-30,24,2,3.1249415911734104
31-45,31-45,30,2,3.04922582115978
46-60,46-60,55,4,5.950048733502626
61-75,61-75,36,3,2.100548048503697
76+,76+,57,3,5.283975537866354
