№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,213,28,175,11,29.99+1.99,15.31+4.31,14.68,0.14,0.09
2,From corner,66,10,24,4,15.49+5.49,3.56-0.44,11.93,0.23,0.15
3,Set piece,10,1,13,1,1.61+0.61,0.64-0.36,0.97,0.16,0.05
4,Direct Freekick,2,0,9,1,0.20+0.20,0.49-0.51,-0.29,0.10,0.05
5,Penalty,2,2,2,2,1.52-0.48,1.52-0.48,0.00,0.76,0.76
