Statistic,shots,goals,xG
OpenPlay,168,11,14.917268767021596
FromCorner,21,3,3.183514913544059
SetPiece,13,1,0.6398009499534965
DirectFreekick,9,1,0.4862865321338177
Penalty,2,2,1.5223376750946045
