Statistic,shots,goals,xG
SavedShot,50,0,5.579417553730309
MissedShots,73,0,6.490923933684826
BlockedShot,79,0,4.153667372651398
Goal,19,19,5.215909581631422
ShotOnPost,2,0,0.08636176958680153
