Statistic,stat,shots,goals,xG
1-15,1-15,27,5,4.323127230629325
16-30,16-30,27,3,4.333108069375157
31-45,31-45,42,2,5.569619336165488
46-60,46-60,42,6,5.383854411542416
61-75,61-75,35,1,5.690754545852542
76+,76+,50,7,6.37306325417012
