Statistic,shots,goals,xG
OpenPlay,105,8,12.03435818105936
FromCorner,14,0,1.2197670554742217
DirectFreekick,9,0,0.47360072284936905
SetPiece,9,3,1.3192028366029263
Penalty,3,2,2.2835065126419067
