№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,136,19,108,8,19.89+0.89,12.24+4.24,7.64,0.15,0.11
2,From corner,22,2,14,0,2.12+0.12,1.22+1.22,0.90,0.10,0.09
3,Direct Freekick,7,1,9,0,0.34-0.66,0.47+0.47,-0.13,0.05,0.05
4,Set piece,4,0,9,3,0.59+0.59,1.32-1.68,-0.73,0.15,0.15
5,Penalty,1,1,4,3,0.76-0.24,3.04+0.04,-2.28,0.76,0.76
