Statistic,stat,shots,goals,xG
shotOboxTotal,shotOboxTotal,56,2,1.7686281334608793
shotPenaltyArea,shotPenaltyArea,76,8,12.38144910801202
shotSixYardBox,shotSixYardBox,8,3,3.1803580671548843
