Statistic,stat,shots,goals,xG
1-15,1-15,32,3,2.8388521894812584
16-30,16-30,32,3,3.3053479306399822
31-45,31-45,41,5,5.325879065319896
46-60,46-60,40,8,5.285390879958868
61-75,61-75,35,3,4.647041277959943
76+,76+,58,8,6.231062879785895
