Statistic,stat,time,shots,goals,xG
4-2-3-1,4-2-3-1,869,103,9,11.038384890183806
5-4-1,5-4-1,100,22,2,1.6242052502930164
4-3-3,4-3-3,91,10,2,0.752754058688879
