№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,207,25,166,22,24.88-0.12,18.75-3.25,6.13,0.12,0.11
2,From corner,46,2,37,4,4.50+2.50,4.63+0.63,-0.13,0.10,0.13
3,Set piece,11,0,20,0,1.10+1.10,1.87+1.87,-0.77,0.10,0.09
4,Direct Freekick,5,0,10,0,0.22+0.22,0.68+0.68,-0.46,0.04,0.07
5,Penalty,4,3,1,1,3.04+0.04,0.76-0.24,2.28,0.76,0.76
