№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,198,12,188,23,24.90+12.90,26.13+3.13,-1.24,0.13,0.14
2,From corner,56,6,54,3,6.08+0.08,6.40+3.40,-0.32,0.11,0.12
3,Set piece,19,2,13,2,0.90-1.10,2.70+0.70,-1.80,0.05,0.21
4,Direct Freekick,9,0,3,0,0.59+0.59,0.16+0.16,0.43,0.07,0.05
5,Penalty,1,1,1,0,0.76-0.24,0.76+0.76,0.00,0.76,0.76
