Statistic,shots,goals,xG
OpenPlay,188,23,26.13376072840765
FromCorner,54,3,6.40385214984417
SetPiece,13,2,2.703381311148405
DirectFreekick,3,0,0.15839700773358345
Penalty,1,0,0.7611688375473022
