Statistic,shots,goals,xG
MissedShots,92,0,8.891887455713004
BlockedShot,74,0,4.208002641797066
SavedShot,56,0,9.181334329769015
Goal,28,28,12.317779356613755
ShotOnPost,9,0,1.5615562507882714
