Statistic,stat,shots,goals,xG
1-15,1-15,26,1,4.270542483776808
16-30,16-30,20,3,4.314863548148423
31-45,31-45,25,1,2.278925037011504
46-60,46-60,32,3,3.811133410781622
61-75,61-75,26,6,3.690666925162077
76+,76+,18,1,1.7224441524595022
