Statistic,stat,time,shots,goals,xG
3-4-2-1,3-4-2-1,925,139,14,19.94307419937104
3-4-3,3-4-3,153,21,3,3.0790109881199896
4-2-3-1,4-2-3-1,59,3,0,0.09188439510762691
4-4-2,4-4-2,7,0,0,0.0
4-1-4-1,4-1-4-1,6,1,0,0.022258281707763672
