№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,146,17,268,38,19.04+2.04,37.86-0.14,-18.82,0.13,0.14
2,From corner,27,3,61,4,3.21+0.21,7.56+3.56,-4.36,0.12,0.12
3,Set piece,16,1,20,3,1.61+0.61,3.48+0.48,-1.87,0.10,0.17
4,Direct Freekick,4,0,11,0,0.21+0.21,0.68+0.68,-0.48,0.05,0.06
5,Penalty,2,2,1,1,1.52-0.48,0.76-0.24,0.76,0.76,0.76
