Statistic,shots,goals,xG
OpenPlay,268,38,37.86445854511112
FromCorner,61,4,7.563905334100127
SetPiece,20,3,3.483076458796859
DirectFreekick,11,0,0.6835349015891552
Penalty,1,1,0.7611688375473022
