Statistic,stat,time,shots,goals,xG
4-2-3-1,4-2-3-1,802,156,15,22.572164819575846
3-4-3,3-4-3,122,22,2,2.291019973345101
4-3-3,4-3-3,96,14,3,2.236904085613787
4-1-4-1,4-1-4-1,25,2,0,0.13267165794968605
3-4-1-2,3-4-1-2,11,0,0,0.0
5-3-2,5-3-2,9,1,1,0.7611688375473022
