Statistic,stat,shots,goals,xG
ownGoals,ownGoals,2,2,2.0
shotOboxTotal,shotOboxTotal,54,3,1.848597382195294
shotPenaltyArea,shotPenaltyArea,125,13,15.618430059403181
shotSixYardBox,shotSixYardBox,30,5,11.441263448446989
