Statistic,stat,shots,goals,xG
1-15,1-15,60,4,5.70417626015842
16-30,16-30,50,10,5.848119735717773
31-45,31-45,65,5,5.686048977077007
46-60,46-60,63,7,8.446126516908407
61-75,61-75,40,2,3.497552442830056
76+,76+,78,7,6.956245642155409
