№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,102,18,184,21,17.75-0.25,19.23-1.77,-1.48,0.17,0.10
2,From corner,17,2,39,1,1.85-0.15,3.15+2.15,-1.30,0.11,0.08
3,Set piece,8,0,4,0,0.48+0.48,0.13+0.13,0.35,0.06,0.03
4,Direct Freekick,4,0,4,0,0.28+0.28,0.28+0.28,0.00,0.07,0.07
5,Penalty,2,2,0,0,1.52-0.48,0.00,1.52,0.76,0.00
