Statistic,stat,shots,goals,xG
Normal,Normal,145,15,13.695868209935725
Standard,Standard,47,1,3.5521970773115754
Slow,Slow,28,2,3.4600956686772406
Fast,Fast,11,4,2.0729585643857718
