Statistic,stat,time,shots,goals,xG
4-3-3,4-3-3,771,137,12,15.173960201442242
4-2-3-1,4-2-3-1,545,100,9,7.379684752319008
4-4-2,4-4-2,198,39,3,3.697528425604105
5-3-2,5-3-2,192,42,6,5.731036758981645
3-5-2,3-5-2,97,26,2,2.5954342614859343
3-4-2-1,3-4-2-1,94,16,2,1.961050372570753
4-3-1-2,4-3-1-2,94,14,3,2.105342857539654
4-3-2-1,4-3-2-1,12,3,0,0.16403399966657162
