Statistic,stat,shots,goals,xG
ownGoals,ownGoals,1,1,1.0
shotOboxTotal,shotOboxTotal,50,2,3.0072632897645235
shotPenaltyArea,shotPenaltyArea,123,17,20.95932987704873
shotSixYardBox,shotSixYardBox,21,7,8.813480094075203
