Statistic,stat,time,shots,goals,xG
4-1-4-1,4-1-4-1,431,34,6,9.149488549679518
3-2-4-1,3-2-4-1,290,23,2,4.047553705982864
4-2-3-1,4-2-3-1,252,27,3,3.346852211281657
4-3-3,4-3-3,180,12,6,3.3815227150917053
