№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,277,32,171,24,34.07+2.07,28.85+4.85,5.22,0.12,0.17
2,From corner,68,5,27,2,6.63+1.63,3.95+1.95,2.67,0.10,0.15
3,Direct Freekick,9,0,2,0,0.73+0.73,0.09+0.09,0.64,0.08,0.05
4,Set piece,9,0,10,0,1.08+1.08,0.99+0.99,0.08,0.12,0.10
5,Penalty,2,1,3,3,1.52+0.52,2.28-0.72,-0.76,0.76,0.76
