Statistic,stat,shots,goals,xG
1-15,1-15,16,4,3.1719768438488245
16-30,16-30,9,3,3.1167830172926188
31-45,31-45,16,1,3.095421642065048
46-60,46-60,17,1,2.5296103516593575
61-75,61-75,13,1,2.797767024487257
76+,76+,16,3,1.909370295703411
