Statistic,stat,shots,goals,xG
1-15,1-15,52,8,8.862079806625843
16-30,16-30,53,6,6.040894091129303
31-45,31-45,57,6,8.527998872101307
46-60,46-60,56,10,7.184186324477196
61-75,61-75,48,2,6.480345418676734
76+,76+,67,7,7.037759869359434
