Statistic,stat,shots,goals,xG
ownGoals,ownGoals,1,1,1.0
shotOboxTotal,shotOboxTotal,58,3,2.4496294371783733
shotPenaltyArea,shotPenaltyArea,109,11,14.642006304115057
shotSixYardBox,shotSixYardBox,12,4,4.3276790995150805
