Statistic,stat,time,shots,goals,xG
4-1-4-1,4-1-4-1,533,82,8,8.690085931681097
4-2-3-1,4-2-3-1,288,60,5,8.656627552583814
3-4-2-1,3-4-2-1,76,12,1,1.2312173759564757
3-4-3,3-4-3,56,6,3,1.1461625322699547
4-4-1-1,4-4-1-1,45,9,2,1.1993924491107464
4-3-3,4-3-3,38,6,0,1.2511068508028984
5-4-1,5-4-1,12,4,0,0.12765697203576565
3-5-2,3-5-2,9,1,0,0.1170651763677597
