Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Aston Villa,1,2
"Aug 24, 2024",Crystal Palace,0,2
"Aug 31, 2024",Manchester City,1,3
"Sep 14, 2024",Fulham,1,1
"Sep 21, 2024",Chelsea,0,3
"Sep 28, 2024",Brentford,1,1
"Oct 05, 2024",Ipswich,4,1
"Oct 19, 2024",Tottenham,4,1
"Oct 27, 2024",Manchester United,2,1
"Nov 02, 2024",Nottingham Forest,3,0
"Nov 09, 2024",Everton,0,0
