Statistic,shots,goals,xG
OpenPlay,261,30,36.14173801802099
FromCorner,47,5,4.536042733117938
SetPiece,15,1,1.3663835944607854
DirectFreekick,8,1,0.5667623616755009
Penalty,2,2,1.5223376750946045
