Statistic,stat,time,shots,goals,xG
4-3-3,4-3-3,1899,254,21,29.65909960772842
4-2-3-1,4-2-3-1,61,10,1,1.5013290420174599
5-4-1,5-4-1,32,2,0,0.16150974854826927
4-4-2,4-4-2,24,4,0,0.32613529823720455
3-4-3,3-4-3,9,2,0,0.11047134548425674
