Statistic,shots,goals,xG
OpenPlay,201,18,25.780979407951236
FromCorner,39,1,2.353603534400463
SetPiece,13,3,1.8263427494093776
DirectFreekick,6,0,0.3232884705066681
Penalty,0,0,0.0
