Statistic,stat,shots,goals,xG
ownGoals,ownGoals,1,1,1.0
shotOboxTotal,shotOboxTotal,50,0,1.7258671764284372
shotPenaltyArea,shotPenaltyArea,94,8,11.630950496532023
shotSixYardBox,shotSixYardBox,15,2,5.069121399894357
