№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,207,28,201,18,28.74+0.74,25.78+7.78,2.96,0.14,0.13
2,From corner,47,2,39,1,3.33+1.33,2.35+1.35,0.98,0.07,0.06
3,Set piece,18,3,13,3,2.93-0.07,1.83-1.17,1.10,0.16,0.14
4,Direct Freekick,7,0,6,0,0.42+0.42,0.32+0.32,0.10,0.06,0.05
5,Penalty,2,1,0,0,1.52+0.52,0.00,1.52,0.76,0.00
