Statistic,stat,shots,goals,xG
1-15,1-15,29,4,2.185209369286895
16-30,16-30,39,4,4.111515177413821
31-45,31-45,30,4,4.728283759206533
46-60,46-60,59,5,7.335096866823733
61-75,61-75,48,1,5.94791972823441
76+,76+,54,4,5.976189261302352
