Statistic,stat,time,shots,goals,xG
Goal diff 0,Goal diff 0,872,97,14,10.751719694584608
Goal diff +1,Goal diff +1,427,67,4,8.986063357442617
Goal diff -1,Goal diff -1,407,62,4,7.671792011708021
Goal diff > +1,Goal diff > +1,249,30,0,2.758668233640492
Goal diff < -1,Goal diff < -1,70,16,0,1.5903017446398735
