Statistic,stat,shots,goals,xG
shotOboxTotal,shotOboxTotal,41,0,1.2778620282188058
shotPenaltyArea,shotPenaltyArea,91,13,12.814808081835508
shotSixYardBox,shotSixYardBox,13,2,3.6347191352397203
