№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,254,18,191,18,32.21+14.21,20.63+2.63,11.59,0.13,0.11
2,From corner,56,3,50,2,5.22+2.22,5.02+3.02,0.20,0.09,0.10
3,Set piece,9,3,16,2,1.37-1.63,1.79-0.21,-0.43,0.15,0.11
4,Penalty,6,5,1,1,4.57-0.43,0.76-0.24,3.81,0.76,0.76
5,Direct Freekick,6,1,2,0,0.30-0.70,0.12+0.12,0.18,0.05,0.06
