Statistic,stat,shots,goals,xG
1-15,1-15,44,3,4.203573531471193
16-30,16-30,40,5,4.4324943367391825
31-45,31-45,35,2,2.666106591001153
46-60,46-60,43,6,5.214602125342935
61-75,61-75,45,4,5.508929251693189
76+,76+,53,3,6.291564146988094
