Statistic,shots,goals,xG
BlockedShot,68,0,4.97065269574523
MissedShots,92,0,6.640377207193524
SavedShot,73,0,6.929923065006733
Goal,23,23,8.316574081778526
ShotOnPost,4,0,1.459742933511734
