Statistic,stat,time,shots,goals,xG
4-2-3-1,4-2-3-1,1853,254,23,27.916996349114925
4-4-1-1,4-4-1-1,30,2,0,0.057027747854590416
4-4-2,4-4-2,20,3,0,0.2988305911421776
4-1-3-2,4-1-3-2,18,1,0,0.044415295124053955
