Statistic,stat,time,shots,goals,xG
4-2-3-1,4-2-3-1,947,154,17,26.070813880302012
5-4-1,5-4-1,95,14,4,3.0781802721321583
4-4-2,4-4-2,18,5,1,0.662245087325573
