Statistic,shots,goals,xG
Goal,23,23,9.886173794046044
MissedShots,57,0,6.662198890931904
BlockedShot,52,0,5.124957203865051
SavedShot,47,0,7.785248169675469
ShotOnPost,5,0,1.621784133836627
