Statistic,stat,shots,goals,xG
ownGoals,ownGoals,1,1,1.0
shotOboxTotal,shotOboxTotal,56,3,2.4419510448351502
shotPenaltyArea,shotPenaltyArea,108,15,19.533808540552855
shotSixYardBox,shotSixYardBox,19,4,8.104602606967092
