Statistic,stat,shots,goals,xG
1-15,1-15,27,6,5.390432679094374
16-30,16-30,10,1,1.8891928642988205
31-45,31-45,26,6,6.114972438663244
46-60,46-60,34,3,6.0400839783251286
61-75,61-75,25,3,4.604725330136716
76+,76+,51,3,5.771831949241459
