№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,77,11,144,19,12.09+1.09,26.72+7.72,-14.63,0.16,0.19
2,From corner,29,2,27,2,1.62-0.38,1.95-0.05,-0.32,0.06,0.07
3,Set piece,8,0,3,0,1.20+1.20,0.18+0.18,1.01,0.15,0.06
4,Direct Freekick,5,0,8,0,0.37+0.37,0.71+0.71,-0.34,0.07,0.09
5,Penalty,0,0,2,2,0.00,1.52-0.48,-1.52,0.00,0.76
