№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,193,20,194,16,21.01+1.01,19.58+3.58,1.42,0.11,0.10
2,From corner,43,4,46,1,6.41+2.41,3.93+2.93,2.48,0.15,0.09
3,Set piece,12,3,12,0,1.43-1.57,0.63+0.63,0.80,0.12,0.05
4,Direct Freekick,8,0,6,1,0.43+0.43,0.32-0.68,0.11,0.05,0.05
5,Penalty,2,2,1,1,1.52-0.48,0.76-0.24,0.76,0.76,0.76
