Statistic,shots,goals,xG
MissedShots,100,0,6.238439101725817
SavedShot,58,0,8.05273439642042
BlockedShot,80,0,5.262723137624562
Goal,19,19,5.588580572977662
ShotOnPost,2,0,0.09059878438711166
