Statistic,stat,shots,goals,xG
shotOboxTotal,shotOboxTotal,95,4,3.127391591668129
shotPenaltyArea,shotPenaltyArea,144,11,14.471668461337686
shotSixYardBox,shotSixYardBox,20,4,7.634015940129757
