Statistic,stat,time,shots,goals,xG
4-2-3-1,4-2-3-1,1610,222,18,22.848184010013938
5-4-1,5-4-1,158,29,0,1.99082154314965
3-4-3,3-4-3,102,16,1,1.206816079095006
3-4-2-1,3-4-2-1,96,7,0,0.769004438072443
4-4-2,4-4-2,59,8,1,1.141158889979124
