Statistic,stat,shots,goals,xG
1-15,1-15,46,3,6.071772740222514
16-30,16-30,44,3,5.591095953248441
31-45,31-45,38,2,2.6567013561725616
46-60,46-60,50,6,5.269264527596533
61-75,61-75,40,3,3.420606516301632
76+,76+,64,3,4.946543866768479
