Statistic,shots,goals,xG
OpenPlay,111,7,10.412095452658832
FromCorner,23,1,1.7889954028651118
SetPiece,8,0,0.3333488218486309
DirectFreekick,2,1,0.11631567031145096
Penalty,1,1,0.7611688375473022
