№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,157,7,179,21,14.87+7.87,25.46+4.46,-10.59,0.09,0.14
2,From corner,35,2,52,4,3.62+1.62,5.63+1.63,-2.01,0.10,0.11
3,Set piece,15,5,12,0,3.24-1.76,0.82+0.82,2.42,0.22,0.07
4,Direct Freekick,10,1,7,0,0.49-0.51,0.56+0.56,-0.08,0.05,0.08
5,Penalty,0,0,2,0,0.00,1.52+1.52,-1.52,0.00,0.76
